"","year","topic","China","France","Russia","United Kingdom","United States"
"63",1971,"Colonialism",0,0.333333333333333,0.0952380952380952,0.476190476190476,0.523809523809524
"64",1971,"Economic development",0,0.1,0.4,0.1,0.1
"65",1971,"Human rights",0,0.166666666666667,0,0.375,0.375
"66",1971,"Nuclear weapons and nuclear material",0.833333333333333,0.333333333333333,0.166666666666667,0,0
"67",1971,"Palestinian conflict",0.533333333333333,0.533333333333333,0.533333333333333,0.4,0.266666666666667
"68",1973,"Arms control and disarmament",0.428571428571429,0.285714285714286,0,0,0
"69",1973,"Colonialism",0,0.142857142857143,0,0.238095238095238,0.476190476190476
"70",1973,"Economic development",0.111111111111111,0.111111111111111,0,0.222222222222222,0.333333333333333
"71",1973,"Human rights",0,0.19047619047619,0.142857142857143,0.285714285714286,0.333333333333333
"72",1973,"Nuclear weapons and nuclear material",0.375,0.25,0,0,0
"73",1973,"Palestinian conflict",0,0,0,0,0.6
"74",1975,"Arms control and disarmament",0.2,0,0.133333333333333,0,0.133333333333333
"75",1975,"Colonialism",0,0.0555555555555556,0.0555555555555556,0.111111111111111,0.333333333333333
"76",1975,"Economic development",0,0,0.5,0.5,0.5
"77",1975,"Human rights",0,0.125,0.0625,0.25,0.4375
"78",1975,"Nuclear weapons and nuclear material",0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667
"79",1975,"Palestinian conflict",0,0.0909090909090909,0,0.363636363636364,0.636363636363636
"80",1977,"Arms control and disarmament",0.285714285714286,0,0,0,0
"81",1977,"Colonialism",0,0.105263157894737,0,0.0526315789473684,0.368421052631579
"82",1977,"Economic development",0,0.222222222222222,0,0.222222222222222,0.333333333333333
"83",1977,"Human rights",0,0.142857142857143,0,0.19047619047619,0.238095238095238
"84",1977,"Nuclear weapons and nuclear material",0.2,0,0,0,0
"85",1977,"Palestinian conflict",0,0.0714285714285714,0,0.214285714285714,0.5
"86",1979,"Arms control and disarmament",0,0.153846153846154,0.230769230769231,0.153846153846154,0.153846153846154
"87",1979,"Colonialism",0,0.208333333333333,0,0.25,0.541666666666667
"88",1979,"Economic development",0,0.3,0.1,0.4,0.4
"89",1979,"Human rights",0,0.0526315789473684,0.157894736842105,0.157894736842105,0.421052631578947
"90",1979,"Nuclear weapons and nuclear material",0,0.3125,0.125,0.3125,0.375
"91",1979,"Palestinian conflict",0,0.0416666666666667,0.166666666666667,0.25,0.541666666666667
"92",1981,"Arms control and disarmament",0,0.214285714285714,0.0357142857142857,0.25,0.392857142857143
"93",1981,"Colonialism",0,0.0952380952380952,0.0476190476190476,0.142857142857143,0.476190476190476
"94",1981,"Economic development",0,0,0.2,0,0.4
"95",1981,"Human rights",0,0,0.0714285714285714,0.0714285714285714,0.714285714285714
"96",1981,"Nuclear weapons and nuclear material",0,0.5,0.05,0.55,0.65
"97",1981,"Palestinian conflict",0,0.181818181818182,0.0303030303030303,0.212121212121212,0.727272727272727
"98",1983,"Arms control and disarmament",0,0.358974358974359,0.0512820512820513,0.41025641025641,0.641025641025641
"99",1983,"Colonialism",0,0.19047619047619,0,0.333333333333333,0.714285714285714
"100",1983,"Economic development",0,0.222222222222222,0,0.222222222222222,0.666666666666667
"101",1983,"Human rights",0,0.0625,0,0.1875,0.875
"102",1983,"Nuclear weapons and nuclear material",0.03125,0.40625,0,0.46875,0.6875
"103",1983,"Palestinian conflict",0,0.166666666666667,0.0277777777777778,0.166666666666667,0.722222222222222
"104",1985,"Arms control and disarmament",0,0.351351351351351,0.0810810810810811,0.351351351351351,0.540540540540541
"105",1985,"Colonialism",0,0.454545454545455,0,0.545454545454545,0.636363636363636
"106",1985,"Economic development",0,0.263157894736842,0,0.263157894736842,0.789473684210526
"107",1985,"Human rights",0,0.0952380952380952,0.0476190476190476,0.19047619047619,0.571428571428571
"108",1985,"Nuclear weapons and nuclear material",0,0.653846153846154,0,0.653846153846154,0.730769230769231
"109",1985,"Palestinian conflict",0,0.125,0.0625,0.15625,0.6875
"110",1987,"Arms control and disarmament",0,0.307692307692308,0,0.307692307692308,0.615384615384615
"111",1987,"Colonialism",0,0.272727272727273,0,0.545454545454545,0.636363636363636
"112",1987,"Economic development",0,0.272727272727273,0,0.272727272727273,0.727272727272727
"113",1987,"Human rights",0,0.238095238095238,0.0476190476190476,0.285714285714286,0.666666666666667
"114",1987,"Nuclear weapons and nuclear material",0,0.666666666666667,0,0.523809523809524,0.619047619047619
"115",1987,"Palestinian conflict",0,0.133333333333333,0,0.133333333333333,0.7
"116",1989,"Arms control and disarmament",0,0.230769230769231,0,0.230769230769231,0.5
"117",1989,"Colonialism",0,0.25,0,0.583333333333333,0.666666666666667
"118",1989,"Economic development",0,0.210526315789474,0,0.210526315789474,0.684210526315789
"119",1989,"Human rights",0,0.2,0,0.266666666666667,0.733333333333333
"120",1989,"Nuclear weapons and nuclear material",0,0.476190476190476,0,0.428571428571429,0.571428571428571
"121",1989,"Palestinian conflict",0,0.172413793103448,0,0.172413793103448,0.758620689655172
"122",1991,"Arms control and disarmament",0,0.272727272727273,0,0.272727272727273,0.454545454545455
"123",1991,"Colonialism",0,0.4,0,0.5,0.6
"124",1991,"Economic development",0,0.375,0,0.5,1
"125",1991,"Human rights",0,0.153846153846154,0,0.153846153846154,0.538461538461538
"126",1991,"Nuclear weapons and nuclear material",0,0.384615384615385,0,0.384615384615385,0.615384615384615
"127",1991,"Palestinian conflict",0,0.103448275862069,0,0.103448275862069,0.724137931034483
"128",1993,"Arms control and disarmament",0,0.222222222222222,0.111111111111111,0.222222222222222,0.222222222222222
"129",1993,"Colonialism",0,0.444444444444444,0.333333333333333,0.555555555555556,0.777777777777778
"130",1993,"Economic development",0,0.5,0.166666666666667,0.5,0.833333333333333
"131",1993,"Human rights",0.230769230769231,0.230769230769231,0.0769230769230769,0.230769230769231,0.538461538461538
"132",1993,"Nuclear weapons and nuclear material",0,0.333333333333333,0,0.5,0.5
"133",1993,"Palestinian conflict",0,0.0476190476190476,0,0.0476190476190476,0.714285714285714
"134",1995,"Arms control and disarmament",0.0588235294117647,0.294117647058824,0.0588235294117647,0.294117647058824,0.352941176470588
"135",1995,"Colonialism",0,0.0909090909090909,0.181818181818182,0.545454545454545,0.818181818181818
"136",1995,"Economic development",0,0.5,0.25,0.5,1
"137",1995,"Human rights",0.333333333333333,0,0.166666666666667,0.0833333333333333,0.416666666666667
"138",1995,"Nuclear weapons and nuclear material",0.0833333333333333,0.333333333333333,0.166666666666667,0.416666666666667,0.416666666666667
"139",1995,"Palestinian conflict",0,0,0,0,0.75
"140",1996,"Nuclear weapons and nuclear material",0,0,0,0,0
"141",1996,"Palestinian conflict",0,0,0,0,1
"142",1997,"Arms control and disarmament",0,0.388888888888889,0.111111111111111,0.388888888888889,0.388888888888889
"143",1997,"Colonialism",0,0,0,0.25,0.75
"144",1997,"Economic development",0,0,0,0.25,1
"145",1997,"Human rights",0.235294117647059,0.0588235294117647,0.117647058823529,0.176470588235294,0.529411764705882
"146",1997,"Nuclear weapons and nuclear material",0,0.4,0.1,0.4,0.4
"147",1997,"Palestinian conflict",0,0,0,0,0.8
"148",1998,"Palestinian conflict",0,0,0,0,1
"149",1999,"Arms control and disarmament",0,0.375,0.125,0.375,0.5
"150",1999,"Colonialism",0,0,0,0.2,0.8
"151",1999,"Economic development",0,0,0,0,0.833333333333333
"152",1999,"Human rights",0.1875,0.0625,0.125,0.125,0.5625
"153",1999,"Nuclear weapons and nuclear material",0,0.545454545454545,0.272727272727273,0.545454545454545,0.636363636363636
"154",1999,"Palestinian conflict",0,0,0,0,0.8
"155",2000,"Palestinian conflict",0,0,0,0,1
"156",2001,"Arms control and disarmament",0,0.333333333333333,0.0666666666666667,0.333333333333333,0.533333333333333
"157",2001,"Colonialism",0,0,0,0.181818181818182,0.818181818181818
"158",2001,"Economic development",0,0,0,0,1
"159",2001,"Human rights",0.117647058823529,0.235294117647059,0.0588235294117647,0.294117647058824,0.705882352941177
"160",2001,"Nuclear weapons and nuclear material",0,0.454545454545455,0.181818181818182,0.454545454545455,0.727272727272727
"161",2001,"Palestinian conflict",0,0,0,0,0.818181818181818
"162",2002,"Human rights",0,0,0,0,1
"163",2003,"Arms control and disarmament",0,0.333333333333333,0,0.333333333333333,0.833333333333333
"164",2003,"Colonialism",0,0,0,0.2,0.8
"165",2003,"Economic development",0,0,0,0,0.8
"166",2003,"Human rights",0.153846153846154,0.461538461538462,0.0769230769230769,0.538461538461538,0.692307692307692
"167",2003,"Nuclear weapons and nuclear material",0,0.583333333333333,0.25,0.583333333333333,0.833333333333333
"168",2003,"Palestinian conflict",0,0,0,0,0.80952380952381
"169",2004,"Colonialism",0,0,0,0,1
"170",2004,"Palestinian conflict",0,0,0,0,1
"171",2005,"Arms control and disarmament",0,0.461538461538462,0.0769230769230769,0.461538461538462,0.769230769230769
"172",2005,"Colonialism",0,0,0,0.272727272727273,0.818181818181818
"173",2005,"Economic development",0,0,0,0,1
"174",2005,"Human rights",0.333333333333333,0.25,0.25,0.25,0.583333333333333
"175",2005,"Nuclear weapons and nuclear material",0,0.583333333333333,0.166666666666667,0.583333333333333,0.833333333333333
"176",2005,"Palestinian conflict",0,0,0,0,0.882352941176471
"177",2006,"Human rights",0,0,0,0,1
"178",2006,"Palestinian conflict",0,0,0,0,1
"179",2007,"Arms control and disarmament",0,0.352941176470588,0.117647058823529,0.411764705882353,0.823529411764706
"180",2007,"Colonialism",0,0.0833333333333333,0,0.25,0.583333333333333
"181",2007,"Economic development",0,0.181818181818182,0,0.181818181818182,0.909090909090909
"182",2007,"Human rights",0.208333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.75
"183",2007,"Nuclear weapons and nuclear material",0,0.666666666666667,0.166666666666667,0.583333333333333,1
"184",2007,"Palestinian conflict",0,0.0526315789473684,0,0.0526315789473684,0.894736842105263
"185",2008,"Economic development",0,0,0.5,0,0.5
"186",2009,"Arms control and disarmament",0,0.375,0.125,0.375,0.5
"187",2009,"Colonialism",0,0.0769230769230769,0,0.230769230769231,0.769230769230769
"188",2009,"Economic development",0,0.0909090909090909,0,0.181818181818182,0.636363636363636
"189",2009,"Human rights",0.15,0.35,0.15,0.4,0.75
"190",2009,"Nuclear weapons and nuclear material",0,0.538461538461538,0.153846153846154,0.461538461538462,0.615384615384615
"191",2009,"Palestinian conflict",0,0,0,0,0.894736842105263
"192",2010,"Economic development",0,0,1,0,0
"193",2010,"Human rights",0,0,0,0,0.5
"194",2010,"Palestinian conflict",0,0,0,0,1
"195",2011,"Arms control and disarmament",0,0.375,0.125,0.4375,0.5625
"196",2011,"Colonialism",0,0.0833333333333333,0,0.166666666666667,0.75
"197",2011,"Economic development",0,0,0,0.125,0.875
"198",2011,"Human rights",0.157894736842105,0.368421052631579,0.157894736842105,0.421052631578947,0.684210526315789
"199",2011,"Nuclear weapons and nuclear material",0,0.5,0.166666666666667,0.5,0.583333333333333
"200",2011,"Palestinian conflict",0,0,0,0,0.85
"201",2012,"Palestinian conflict",1,0,1,0,0
"202",2013,"Arms control and disarmament",0,0.411764705882353,0.235294117647059,0.470588235294118,0.529411764705882
"203",2013,"Colonialism",0,0.0769230769230769,0,0.230769230769231,0.769230769230769
"204",2013,"Economic development",0,0,0,0.2,0.8
"205",2013,"Human rights",0.105263157894737,0.421052631578947,0.105263157894737,0.473684210526316,0.842105263157895
"206",2013,"Nuclear weapons and nuclear material",0,0.666666666666667,0.416666666666667,0.666666666666667,0.75
"207",2013,"Palestinian conflict",0,0,0,0,0.882352941176471
"208",2014,"Economic development",0,0,0,1,1
"209",2014,"Human rights",0,0,1,0,0
