"","rcid","session","date","topic","China","France","Russia","United Kingdom","United States","consensus","veto_by","year"
"118",516,12,1957-11-03,"Nuclear weapons and nuclear material",2,1,3,1,1,"negative",NA,1957
"119",517,12,1957-11-03,"Arms control and disarmament",2,1,3,1,1,"negative",NA,1957
"120",517,12,1957-11-03,"Nuclear weapons and nuclear material",2,1,3,1,1,"negative",NA,1957
"121",518,12,1957-11-01,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1957
"122",518,12,1957-11-01,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1957
"123",519,12,1957-11-01,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1957
"124",520,12,1957-11-01,"Arms control and disarmament",2,1,3,1,1,"veto","Russia",1957
"125",522,12,1957-11-01,"Colonialism",2,1,3,1,1,"veto","Russia",1957
"126",523,12,1957-11-01,"Colonialism",2,3,1,3,3,"negative",NA,1957
"127",524,12,1957-11-01,"Economic development",2,1,1,1,1,"postive",NA,1957
"128",525,12,1957-11-01,"Economic development",2,1,3,1,1,"veto","Russia",1957
"129",526,12,1957-11-01,"Human rights",2,3,1,3,2,"negative",NA,1957
"130",528,12,1957-11-04,"Colonialism",2,1,3,1,1,"veto","Russia",1957
"131",529,12,1957-11-04,"Colonialism",2,3,1,3,2,"negative",NA,1957
"132",531,12,1957-11-04,"Colonialism",2,3,1,3,3,"negative",NA,1957
"133",531,12,1957-11-04,"Palestinian conflict",2,3,1,3,3,"negative",NA,1957
"134",532,12,1957-11-04,"Colonialism",2,1,2,1,1,"postive",NA,1957
"135",532,12,1957-11-04,"Palestinian conflict",2,1,2,1,1,"postive",NA,1957
"136",538,12,1957-12-07,"Colonialism",2,3,1,3,2,"negative",NA,1957
"137",578,14,1959-09-05,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1959
"138",579,14,1959-10-06,"Economic development",2,3,1,3,3,"negative",NA,1959
"139",580,14,1959-10-06,"Economic development",2,1,3,1,1,"veto","Russia",1959
"140",584,14,1959-10-01,"Human rights",2,2,3,2,1,"veto","Russia",1959
"141",586,14,1959-11-06,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1959
"142",586,14,1959-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1959
"143",587,14,1959-11-06,"Nuclear weapons and nuclear material",2,3,1,2,2,"veto","France",1959
"144",588,14,1959-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1959
"145",589,14,1959-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1959
"146",590,14,1959-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1959
"147",591,14,1959-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1959
"148",592,14,1959-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1959
"149",593,14,1959-11-06,"Arms control and disarmament",2,2,2,1,1,"postive",NA,1959
"150",593,14,1959-11-06,"Nuclear weapons and nuclear material",2,2,2,1,1,"postive",NA,1959
"151",594,14,1959-11-06,"Economic development",2,1,2,2,1,"postive",NA,1959
"152",595,14,1959-11-07,"Arms control and disarmament",2,3,1,2,2,"negative",NA,1959
"153",595,14,1959-11-07,"Nuclear weapons and nuclear material",2,3,1,2,2,"negative",NA,1959
"154",596,14,1959-11-04,"Economic development",2,1,3,1,1,"veto","Russia",1959
"155",597,14,1959-11-04,"Economic development",2,1,3,1,1,"veto","Russia",1959
"156",599,14,1959-12-02,"Colonialism",2,2,1,2,2,"postive",NA,1959
"157",600,14,1959-12-02,"Economic development",2,2,1,2,2,"postive",NA,1959
"158",605,14,1959-12-06,"Colonialism",2,1,3,1,1,"veto","Russia",1959
"159",608,14,1959-12-02,"Colonialism",2,3,1,2,1,"veto","France",1959
"160",609,14,1959-12-02,"Colonialism",2,2,1,2,2,"postive",NA,1959
"161",610,14,1959-12-02,"Human rights",2,2,1,2,2,"postive",NA,1959
"162",611,14,1959-12-02,"Colonialism",2,2,1,2,2,"postive",NA,1959
"163",612,14,1959-12-02,"Colonialism",2,2,1,2,2,"postive",NA,1959
"164",613,14,1959-12-02,"Colonialism",2,2,1,2,2,"postive",NA,1959
"165",614,14,1959-12-02,"Human rights",2,2,1,3,2,"veto","United Kingdom",1959
"166",615,14,1959-12-02,"Colonialism",2,2,1,3,2,"veto","United Kingdom",1959
"167",616,14,1959-12-02,"Colonialism",2,1,1,3,3,"negative",NA,1959
"168",617,14,1959-12-02,"Colonialism",2,1,1,2,2,"postive",NA,1959
"169",618,14,1959-12-02,"Colonialism",2,1,1,1,1,"postive",NA,1959
"170",619,14,1959-12-02,"Colonialism",2,1,1,3,3,"negative",NA,1959
"171",620,14,1959-12-02,"Colonialism",2,1,1,3,3,"negative",NA,1959
"172",621,14,1959-12-02,"Colonialism",2,1,1,3,3,"negative",NA,1959
"173",622,14,1959-12-02,"Colonialism",2,1,1,3,2,"veto","United Kingdom",1959
"174",623,14,1959-12-02,"Colonialism",2,2,3,1,1,"veto","Russia",1959
"175",624,14,1959-12-02,"Colonialism",2,2,3,1,1,"veto","Russia",1959
"176",625,14,1959-12-02,"Colonialism",2,1,1,3,3,"negative",NA,1959
"177",626,14,1959-12-02,"Colonialism",2,2,1,3,3,"negative",NA,1959
"178",734,16,1961-10-06,"Nuclear weapons and nuclear material",2,1,3,1,1,"veto","Russia",1961
"179",736,16,1961-10-06,"Nuclear weapons and nuclear material",2,1,3,1,1,"veto","Russia",1961
"180",737,16,1961-11-05,"Nuclear weapons and nuclear material",2,3,3,3,3,"negative",NA,1961
"181",738,16,1961-11-07,"Arms control and disarmament",2,2,3,1,1,"negative",NA,1961
"182",738,16,1961-11-07,"Nuclear weapons and nuclear material",2,2,3,1,1,"negative",NA,1961
"183",739,16,1961-11-07,"Colonialism",2,2,1,2,2,"postive",NA,1961
"184",740,16,1961-11-02,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1961
"185",740,16,1961-11-02,"Nuclear weapons and nuclear material",2,2,1,2,2,"postive",NA,1961
"186",741,16,1961-11-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1961
"187",741,16,1961-11-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1961
"188",742,16,1961-11-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1961
"189",742,16,1961-11-02,"Human rights",2,3,1,3,3,"negative",NA,1961
"190",742,16,1961-11-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1961
"191",743,16,1961-11-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1961
"192",743,16,1961-11-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1961
"193",744,16,1961-11-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1961
"194",744,16,1961-11-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1961
"195",745,16,1961-11-05,"Colonialism",2,3,1,3,3,"negative",NA,1961
"196",746,16,1961-11-05,"Colonialism",2,2,1,2,1,"postive",NA,1961
"197",747,16,1961-11-05,"Colonialism",2,1,3,1,1,"veto","Russia",1961
"198",748,16,1961-11-05,"Colonialism",2,1,3,1,1,"veto","Russia",1961
"199",749,16,1961-11-05,"Colonialism",2,3,1,3,3,"negative",NA,1961
"200",755,16,1961-12-03,"Colonialism",2,3,1,3,3,"negative",NA,1961
"201",762,16,1961-12-01,"Colonialism",2,1,3,1,1,"veto","Russia",1961
"202",763,16,1961-12-01,"Colonialism",2,2,3,1,1,"veto","Russia",1961
"203",764,16,1961-12-01,"Colonialism",2,2,1,1,1,"postive",NA,1961
"204",765,16,1961-12-01,"Colonialism",2,2,2,2,1,"postive",NA,1961
"205",766,16,1961-12-01,"Economic development",2,1,3,1,1,"veto","Russia",1961
"206",767,16,1961-12-01,"Economic development",2,1,2,1,1,"postive",NA,1961
"207",768,16,1961-12-01,"Economic development",2,3,1,2,2,"veto","France",1961
"208",769,16,1961-12-01,"Economic development",2,3,1,1,1,"veto","France",1961
"209",770,16,1961-12-01,"Economic development",2,3,1,1,1,"veto","France",1961
"210",772,16,1961-12-02,"Colonialism",2,2,1,2,2,"postive",NA,1961
"211",773,16,1961-12-02,"Palestinian conflict",2,3,1,3,3,"negative",NA,1961
"212",774,16,1961-12-02,"Palestinian conflict",2,3,1,3,3,"negative",NA,1961
"213",775,16,1961-12-02,"Palestinian conflict",2,1,2,1,1,"postive",NA,1961
"214",776,16,1961-12-02,"Palestinian conflict",2,1,2,1,1,"postive",NA,1961
"215",784,16,1962-01-04,"Colonialism",2,3,1,3,3,"negative",NA,1962
"216",785,16,1962-01-04,"Colonialism",2,1,3,1,1,"veto","Russia",1962
"217",787,16,1962-01-04,"Colonialism",2,2,1,3,3,"negative",NA,1962
"218",788,16,1962-01-04,"Colonialism",2,2,1,1,1,"postive",NA,1962
"219",794,16,1962-02-03,"Colonialism",2,3,1,3,3,"negative",NA,1962
"220",795,16,1962-06-01,"Colonialism",2,3,1,3,3,"negative",NA,1962
"221",799,16,1962-06-02,"Colonialism",2,1,1,1,1,"postive",NA,1962
"222",800,16,1962-06-02,"Colonialism",2,1,2,1,1,"postive",NA,1962
"223",801,16,1962-06-03,"Colonialism",2,2,1,2,2,"postive",NA,1962
"224",802,16,1962-06-03,"Colonialism",2,2,1,2,2,"postive",NA,1962
"225",803,16,1962-06-03,"Colonialism",2,2,1,2,2,"postive",NA,1962
"226",850,18,1963-09-06,"Human rights",2,3,1,3,3,"negative",NA,1963
"227",851,18,1963-10-01,"Human rights",2,2,1,2,2,"postive",NA,1963
"228",853,18,1963-10-04,"Colonialism",2,2,1,2,2,"postive",NA,1963
"229",856,18,1963-11-02,"Colonialism",2,2,1,2,2,"postive",NA,1963
"230",857,18,1963-11-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1963
"231",857,18,1963-11-02,"Colonialism",2,3,1,3,3,"negative",NA,1963
"232",860,18,1963-11-02,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1963
"233",860,18,1963-11-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1963
"234",861,18,1963-11-02,"Arms control and disarmament",2,2,2,1,1,"postive",NA,1963
"235",861,18,1963-11-02,"Nuclear weapons and nuclear material",2,2,2,1,1,"postive",NA,1963
"236",862,18,1963-12-03,"Palestinian conflict",2,1,1,1,1,"postive",NA,1963
"237",863,18,1963-12-03,"Colonialism",2,2,1,2,2,"postive",NA,1963
"238",866,18,1963-12-04,"Colonialism",2,2,1,2,2,"postive",NA,1963
"239",872,18,1963-12-02,"Human rights",2,1,1,1,1,"postive",NA,1963
"240",873,18,1963-12-03,"Colonialism",2,2,1,2,1,"postive",NA,1963
"241",873,18,1963-12-03,"Human rights",2,2,1,2,1,"postive",NA,1963
"242",877,18,1963-12-03,"Economic development",2,3,3,2,2,"negative",NA,1963
"243",878,18,1963-12-03,"Economic development",2,3,3,2,2,"negative",NA,1963
"244",880,20,1965-11-07,"Colonialism",2,2,1,2,3,"veto","United States",1965
"245",883,20,1965-11-06,"Colonialism",2,2,1,2,1,"postive",NA,1965
"246",886,20,1965-11-07,"Arms control and disarmament",2,2,1,1,1,"postive",NA,1965
"247",886,20,1965-11-07,"Nuclear weapons and nuclear material",2,2,1,1,1,"postive",NA,1965
"248",887,20,1965-11-03,"Arms control and disarmament",2,2,1,1,1,"postive",NA,1965
"249",888,20,1965-12-02,"Arms control and disarmament",2,2,1,1,1,"postive",NA,1965
"250",889,20,1965-12-02,"Arms control and disarmament",2,2,2,1,1,"postive",NA,1965
"251",889,20,1965-12-02,"Nuclear weapons and nuclear material",2,2,2,1,1,"postive",NA,1965
"252",890,20,1965-12-02,"Arms control and disarmament",2,2,1,1,1,"postive",NA,1965
"253",890,20,1965-12-02,"Nuclear weapons and nuclear material",2,2,1,1,1,"postive",NA,1965
"254",891,20,1965-12-07,"Palestinian conflict",2,1,1,1,1,"postive",NA,1965
"255",893,20,1965-12-01,"Colonialism",2,1,3,1,1,"veto","Russia",1965
"256",894,20,1965-12-01,"Colonialism",2,2,3,1,1,"veto","Russia",1965
"257",895,20,1965-12-01,"Colonialism",2,2,2,2,2,"postive",NA,1965
"258",897,20,1965-12-01,"Colonialism",2,2,1,2,2,"postive",NA,1965
"259",898,20,1965-12-01,"Colonialism",2,3,1,3,3,"negative",NA,1965
"260",899,20,1965-12-01,"Colonialism",2,3,1,3,3,"negative",NA,1965
"261",903,20,1965-12-01,"Colonialism",2,2,1,2,2,"postive",NA,1965
"262",907,20,1965-12-02,"Colonialism",2,2,1,3,3,"negative",NA,1965
"263",909,20,1965-12-03,"Human rights",2,2,3,1,1,"veto","Russia",1965
"264",910,20,1965-12-05,"Colonialism",2,3,1,3,3,"negative",NA,1965
"265",911,20,1965-12-05,"Colonialism",2,2,1,3,3,"negative",NA,1965
"266",912,20,1965-12-06,"Human rights",2,3,1,2,3,"negative",NA,1965
"267",913,20,1965-12-06,"Human rights",2,1,1,1,1,"postive",NA,1965
"268",914,20,1965-12-06,"Arms control and disarmament",2,2,1,3,3,"negative",NA,1965
"269",914,20,1965-12-06,"Colonialism",2,2,1,3,3,"negative",NA,1965
"270",915,20,1965-12-06,"Colonialism",2,2,1,2,2,"postive",NA,1965
"271",916,20,1965-12-06,"Colonialism",2,2,1,2,2,"postive",NA,1965
"272",976,22,1967-11-02,"Colonialism",2,2,1,2,2,"postive",NA,1967
"273",978,22,1967-11-02,"Colonialism",2,2,1,2,2,"postive",NA,1967
"274",979,22,1967-11-02,"Colonialism",2,2,1,3,3,"negative",NA,1967
"275",985,22,1967-12-01,"Arms control and disarmament",2,2,2,1,1,"postive",NA,1967
"276",985,22,1967-12-01,"Nuclear weapons and nuclear material",2,2,2,1,1,"postive",NA,1967
"277",986,22,1967-12-03,"Colonialism",2,2,1,3,3,"negative",NA,1967
"278",986,22,1967-12-03,"Economic development",2,2,1,3,3,"negative",NA,1967
"279",987,22,1967-12-03,"Colonialism",2,2,1,2,2,"postive",NA,1967
"280",987,22,1967-12-03,"Economic development",2,2,1,2,2,"postive",NA,1967
"281",988,22,1967-12-04,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1967
"282",988,22,1967-12-04,"Nuclear weapons and nuclear material",2,2,1,2,2,"postive",NA,1967
"283",989,22,1967-12-01,"Economic development",2,1,1,1,1,"postive",NA,1967
"284",990,22,1967-12-01,"Economic development",2,3,3,3,3,"negative",NA,1967
"285",991,22,1967-12-01,"Economic development",2,3,2,3,3,"negative",NA,1967
"286",992,22,1967-12-02,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1967
"287",993,22,1967-12-03,"Colonialism",2,2,1,3,3,"negative",NA,1967
"288",994,22,1967-12-03,"Colonialism",2,2,1,3,3,"negative",NA,1967
"289",995,22,1967-12-03,"Colonialism",2,2,1,2,2,"postive",NA,1967
"290",996,22,1967-12-04,"Economic development",2,3,1,3,3,"negative",NA,1967
"291",998,22,1967-12-05,"Colonialism",2,2,1,2,2,"postive",NA,1967
"292",1002,22,1967-12-07,"Human rights",2,3,1,3,3,"negative",NA,1967
"293",1003,22,1967-12-07,"Human rights",2,3,1,3,3,"negative",NA,1967
"294",1004,22,1967-12-07,"Human rights",2,3,1,3,3,"negative",NA,1967
"295",1005,22,1967-12-07,"Human rights",2,1,2,1,1,"postive",NA,1967
"296",1006,22,1967-12-01,"Arms control and disarmament",2,2,1,1,1,"postive",NA,1967
"297",1006,22,1967-12-01,"Nuclear weapons and nuclear material",2,2,1,1,1,"postive",NA,1967
"298",1007,22,1967-12-01,"Colonialism",2,2,1,3,3,"negative",NA,1967
"299",1008,22,1967-12-01,"Colonialism",2,2,1,3,3,"negative",NA,1967
"300",1009,22,1967-12-01,"Colonialism",2,2,1,3,2,"veto","United Kingdom",1967
"301",1010,22,1967-12-01,"Colonialism",2,2,1,2,2,"postive",NA,1967
"302",1011,22,1967-12-01,"Colonialism",2,2,1,3,3,"negative",NA,1967
"303",1012,22,1967-12-01,"Colonialism",2,2,1,2,2,"postive",NA,1967
"304",1014,22,1968-06-03,"Arms control and disarmament",2,2,1,1,1,"postive",NA,1968
"305",1014,22,1968-06-03,"Nuclear weapons and nuclear material",2,2,1,1,1,"postive",NA,1968
"306",1070,24,1969-11-03,"Colonialism",2,3,2,2,3,"negative",NA,1969
"307",1071,24,1969-11-03,"Colonialism",2,3,3,2,3,"negative",NA,1969
"308",1072,24,1969-11-03,"Colonialism",2,1,1,1,1,"postive",NA,1969
"309",1073,24,1969-11-04,"Colonialism",2,1,1,1,1,"postive",NA,1969
"310",1074,24,1969-11-05,"Colonialism",2,2,1,2,2,"postive",NA,1969
"311",1075,24,1969-11-05,"Colonialism",2,2,1,3,3,"negative",NA,1969
"312",1076,24,1969-11-05,"Economic development",2,2,2,3,3,"negative",NA,1969
"313",1079,24,1969-12-06,"Colonialism",2,2,1,1,1,"postive",NA,1969
"314",1080,24,1969-12-05,"Colonialism",2,2,1,3,3,"negative",NA,1969
"315",1080,24,1969-12-05,"Palestinian conflict",2,2,1,3,3,"negative",NA,1969
"316",1081,24,1969-12-05,"Colonialism",2,2,1,2,3,"negative",NA,1969
"317",1081,24,1969-12-05,"Palestinian conflict",2,2,1,2,3,"negative",NA,1969
"318",1082,24,1969-12-05,"Human rights",2,1,1,1,1,"postive",NA,1969
"319",1082,24,1969-12-05,"Palestinian conflict",2,1,1,1,1,"postive",NA,1969
"320",1083,24,1969-12-06,"Colonialism",2,2,1,2,2,"postive",NA,1969
"321",1083,24,1969-12-06,"Human rights",2,2,1,2,2,"postive",NA,1969
"322",1083,24,1969-12-06,"Palestinian conflict",2,2,1,2,2,"postive",NA,1969
"323",1084,24,1969-12-06,"Colonialism",2,3,1,2,2,"veto","France",1969
"324",1085,24,1969-12-06,"Human rights",2,2,1,3,3,"negative",NA,1969
"325",1086,24,1969-12-07,"Colonialism",2,2,1,2,3,"veto","United States",1969
"326",1087,24,1969-12-07,"Colonialism",2,3,1,3,3,"negative",NA,1969
